# VOTING_WINDOW [53794570,53804570]  (inclusive)
validator_owner,validator_ad_app_id,status,delegators,total_yes,total_no,total_none,last_in_window_round,validator_state
222F4JFG75UHMNCINTIMAAHY4L6TQKQ3JUEZL5O5WSLFOSYDYJMTU6WK4I,2723984773,UNKNOWN,2,0,0,2,,READY
3AQH2YUYNLCLLMZG7HYIFGELDEMXWDME7FKXW2MG3DBIN677YQZW7UBXHM,2744835634,NOT-UPGRADED,2,0,1,0,53795201,READY
3WBS6WRHEOEMB7NI2KGVAKE6N5IZN654ISO5VSVSOYHVGFR2FAUNSCHIME,2730966789,UNKNOWN,3,0,0,3,,READY
3WBS6WRHEOEMB7NI2KGVAKE6N5IZN654ISO5VSVSOYHVGFR2FAUNSCHIME,2898739949,NOT-UPGRADED,3,0,1,0,53802382,READY
45E6ZOPC3NVVCXRKM6MEI6OGAPBIRIQSNMS3HUQSPVILBRNRBO6TPKKPCM,2782303739,UPGRADED,4,1,0,0,53798801,READY
45E6ZOPC3NVVCXRKM6MEI6OGAPBIRIQSNMS3HUQSPVILBRNRBO6TPKKPCM,2782314120,UPGRADED,4,1,0,0,53795657,READY
45E6ZOPC3NVVCXRKM6MEI6OGAPBIRIQSNMS3HUQSPVILBRNRBO6TPKKPCM,2800567692,UPGRADED,3,1,0,0,53798237,READY
45E6ZOPC3NVVCXRKM6MEI6OGAPBIRIQSNMS3HUQSPVILBRNRBO6TPKKPCM,2800585528,UPGRADED,4,1,0,0,53801953,READY
45E6ZOPC3NVVCXRKM6MEI6OGAPBIRIQSNMS3HUQSPVILBRNRBO6TPKKPCM,2800590519,UPGRADED,4,1,0,0,53798181,READY
45E6ZOPC3NVVCXRKM6MEI6OGAPBIRIQSNMS3HUQSPVILBRNRBO6TPKKPCM,3191966900,UNKNOWN,1,0,0,1,,READY
4E5EH2XPNGVQNZCUVY4LYI3VCFP22V4UVRPZ2LIBG7X74I5FKJYPIO5XKI,2878951421,UPGRADED,4,1,0,0,53801189,READY
4E5EH2XPNGVQNZCUVY4LYI3VCFP22V4UVRPZ2LIBG7X74I5FKJYPIO5XKI,2918212925,UPGRADED,2,1,0,0,53801954,READY
4E5EH2XPNGVQNZCUVY4LYI3VCFP22V4UVRPZ2LIBG7X74I5FKJYPIO5XKI,2939824878,UPGRADED,4,1,0,0,53803071,READY
5GTJ72U3CKW74IYZ3NO7CXWTCBKTZY242AG3WKD2LHXJAJYFUAFJBLZD2Q,2904837145,NOT-UPGRADED,2,0,1,0,53804128,READY
63HW5EZMMNNH4FVFA7DPS3765XAYZVGCHDI3Q3URRDCWXQF6XJYN577LEU,2739763870,UNKNOWN,2,0,0,2,,READY
AVX6LSJG5CMSEITNMIZIPJTB47VQQZDJXH3RQDT3NOV4XIAXKF5JLGTQX4,2715221169,UNKNOWN,1,0,0,1,,NOT_LIVE
BTJ7MHRDI7WN5GB72JELVRRGH3CPM5WKCMJSPSYQOII4UVD4O57QDNBEIE,2728127030,UNKNOWN,2,0,0,2,,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,2907462121,UNKNOWN,2,0,0,2,,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,2909675590,UPGRADED,4,1,0,0,53804314,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,2920740516,UPGRADED,4,1,0,0,53797334,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,2921204282,UNKNOWN,1,0,0,1,,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,2922663437,UPGRADED,4,1,0,0,53804325,READY
